Data,Competição,Hora,Minuto,Times,Ambos Marcam
29/11/2025,Euro Cup,11,2,Alemanha x Sérvia,Não
29/11/2025,Euro Cup,11,5,Albânia x Eslováquia,Não
29/11/2025,Euro Cup,11,8,Espanha x França,Sim
29/11/2025,Euro Cup,11,11,Inglaterra x Turquia,Sim
29/11/2025,Euro Cup,11,14,Croácia x Hungria,Sim
29/11/2025,Euro Cup,11,17,França x Romênia,Sim
29/11/2025,Euro Cup,11,20,Croácia x Eslováquia,Sim
29/11/2025,Euro Cup,11,23,Romênia x Alemanha,Sim
29/11/2025,Euro Cup,11,26,Países Baixos x Bélgica,Não
29/11/2025,Euro Cup,11,29,República Tcheca x Sérvia,Não
29/11/2025,Euro Cup,11,32,Geórgia x Áustria,Não
29/11/2025,Euro Cup,11,35,Escócia x Portugal,Não
29/11/2025,Euro Cup,11,38,Espanha x Suíça,Sim
29/11/2025,Euro Cup,11,41,Áustria x Geórgia,Sim
29/11/2025,Euro Cup,11,44,Albânia x Polônia,Não
29/11/2025,Euro Cup,11,47,Romênia x Geórgia,Não
29/11/2025,Euro Cup,11,50,Polônia x Portugal,Sim
29/11/2025,Euro Cup,11,53,Ucrânia x República Tcheca,Sim
29/11/2025,Euro Cup,11,56,Portugal x Alemanha,Não
29/11/2025,Euro Cup,11,59,Itália x Eslováquia,Não
29/11/2025,Euro Cup,12,2,Inglaterra x Sérvia,Não
29/11/2025,Euro Cup,12,5,Itália x Alemanha,Sim
29/11/2025,Euro Cup,12,8,Bélgica x Eslovênia,Sim
29/11/2025,Euro Cup,12,11,República Tcheca x Albânia,Sim
29/11/2025,Euro Cup,12,14,Alemanha x Ucrânia,Sim
29/11/2025,Euro Cup,12,17,Bélgica x Turquia,Sim
29/11/2025,Euro Cup,12,20,Albânia x República Tcheca,Não
29/11/2025,Euro Cup,12,23,Alemanha x Eslováquia,Não
29/11/2025,Euro Cup,12,26,Albânia x França,Sim
29/11/2025,Euro Cup,12,29,Geórgia x Espanha,Não
29/11/2025,Euro Cup,12,32,Romênia x Suíça,Não
29/11/2025,Euro Cup,12,35,Ucrânia x Bélgica,Sim
29/11/2025,Euro Cup,12,38,Suíça x Eslováquia,Sim
29/11/2025,Euro Cup,12,41,Inglaterra x Romênia,Sim
29/11/2025,Euro Cup,12,44,Alemanha x Bélgica,Não
29/11/2025,Euro Cup,12,47,Geórgia x República Tcheca,Não
29/11/2025,Euro Cup,12,50,Eslováquia x Portugal,Não
29/11/2025,Euro Cup,12,53,Escócia x Sérvia,Sim
29/11/2025,Euro Cup,12,56,Croácia x Países Baixos,Sim
29/11/2025,Euro Cup,12,59,Espanha x Dinamarca,Sim
29/11/2025,Euro Cup,13,2,Bélgica x Croácia,Não
29/11/2025,Euro Cup,13,5,Dinamarca x Escócia,Sim
29/11/2025,Euro Cup,13,8,Polônia x Eslovênia,Sim
29/11/2025,Euro Cup,13,11,Hungria x Turquia,Sim
29/11/2025,Euro Cup,13,14,Eslovênia x Sérvia,Não
29/11/2025,Euro Cup,13,17,Turquia x França,Sim
29/11/2025,Euro Cup,13,20,Alemanha x Polônia,Sim
29/11/2025,Euro Cup,13,23,Geórgia x Sérvia,Sim
29/11/2025,Euro Cup,13,26,Portugal x Dinamarca,Sim
29/11/2025,Euro Cup,13,29,Países Baixos x Itália,Sim
29/11/2025,Euro Cup,13,32,Suíça x Polônia,Sim
29/11/2025,Euro Cup,13,35,Eslováquia x Espanha,Sim
29/11/2025,Euro Cup,13,38,Romênia x Eslovênia,Sim
29/11/2025,Euro Cup,13,41,Escócia x França,Não
29/11/2025,Euro Cup,13,44,Portugal x República Tcheca,Não
29/11/2025,Euro Cup,13,47,França x Ucrânia,Sim
29/11/2025,Euro Cup,13,50,Eslovênia x Itália,Não
29/11/2025,Euro Cup,13,53,Países Baixos x Eslováquia,Sim
29/11/2025,Euro Cup,13,56,Bélgica x Polônia,Não
29/11/2025,Euro Cup,13,59,Sérvia x Albânia,Não
29/11/2025,Euro Cup,14,2,Polônia x Países Baixos,Não
29/11/2025,Euro Cup,14,5,Ucrânia x Alemanha,Sim
29/11/2025,Euro Cup,14,8,Croácia x Eslovênia,Sim
29/11/2025,Euro Cup,14,11,Áustria x Suíça,Sim
29/11/2025,Euro Cup,14,14,Albânia x Escócia,Não
29/11/2025,Euro Cup,14,17,Alemanha x Romênia,Não
29/11/2025,Euro Cup,14,20,Sérvia x Polônia,Sim
29/11/2025,Euro Cup,14,23,Bélgica x Itália,Sim
29/11/2025,Euro Cup,14,26,República Tcheca x Eslovênia,Não
29/11/2025,Euro Cup,14,29,Croácia x Escócia,Sim
29/11/2025,Euro Cup,14,32,Alemanha x Dinamarca,Sim
29/11/2025,Euro Cup,14,35,Ucrânia x Suíça,Não
29/11/2025,Euro Cup,14,38,Itália x Inglaterra,Sim
29/11/2025,Euro Cup,14,41,Países Baixos x França,Não
29/11/2025,Euro Cup,14,44,Sérvia x Itália,Não
29/11/2025,Euro Cup,14,47,França x Eslovênia,Não
29/11/2025,Euro Cup,14,50,Polônia x Espanha,Não
29/11/2025,Euro Cup,14,53,Romênia x Sérvia,Não
29/11/2025,Euro Cup,14,56,República Tcheca x Inglaterra,Sim
29/11/2025,Euro Cup,14,59,Turquia x Itália,Sim
29/11/2025,Euro Cup,15,2,Portugal x França,Sim
29/11/2025,Euro Cup,15,5,Alemanha x Países Baixos,Sim
29/11/2025,Euro Cup,15,8,Eslovênia x Albânia,Sim
29/11/2025,Euro Cup,15,11,Dinamarca x Croácia,Sim
29/11/2025,Euro Cup,15,14,Espanha x Escócia,Não
29/11/2025,Euro Cup,15,17,França x Eslováquia,Não
29/11/2025,Euro Cup,15,20,Sérvia x Escócia,Sim
29/11/2025,Euro Cup,15,23,Itália x Suíça,Não
29/11/2025,Euro Cup,15,26,Romênia x Inglaterra,Não
29/11/2025,Euro Cup,15,29,Eslovênia x Polônia,Não
29/11/2025,Euro Cup,15,32,Escócia x República Tcheca,Não
29/11/2025,Euro Cup,15,35,Polônia x Sérvia,Sim
