Data,Competição,Hora,Minuto,Times,Ambos Marcam,1x,2x,3x,4x,5x
30/11/2025,Copa do Mundo,7,1,Suíça x Tunísia,Sim,,,,,
30/11/2025,Copa do Mundo,7,4,EUA x Irã,Não,,,,,
30/11/2025,Copa do Mundo,7,7,Países Baixos x Dinamarca,Não,Não,,,,
30/11/2025,Copa do Mundo,7,10,Austrália x México,Não,Sim,Não,,,
30/11/2025,Copa do Mundo,7,13,Gana x Japão,Não,Sim,Sim,Não,,
30/11/2025,Copa do Mundo,7,16,México x Brasil,Não,Sim,Sim,Sim,Não,
30/11/2025,Copa do Mundo,7,19,Coreia do Sul x Marrocos,Não,Sim,Sim,Sim,Sim,Não
30/11/2025,Copa do Mundo,7,22,Canadá x Suíça,Não,Sim,Sim,Sim,Sim,Sim
30/11/2025,Copa do Mundo,7,25,Coreia do Sul x Polônia,Não,Sim,Sim,Sim,Sim,Sim
30/11/2025,Copa do Mundo,7,28,Bélgica x Canadá,Não,Sim,Sim,Sim,Sim,Sim
30/11/2025,Copa do Mundo,7,31,Suíça x Coreia do Sul,Não,Sim,Sim,Sim,Sim,Sim
30/11/2025,Copa do Mundo,7,34,México x Canadá,Sim,Não,Não,Não,Não,Não
30/11/2025,Copa do Mundo,7,37,Portugal x Senegal,Não,Sim,Sim,Sim,Sim,Sim
30/11/2025,Copa do Mundo,7,40,Alemanha x EUA,Não,Não,Sim,Sim,Sim,Sim
30/11/2025,Copa do Mundo,7,43,Coreia do Sul x Gana,Não,Sim,Não,Sim,Sim,Sim
30/11/2025,Copa do Mundo,7,46,EUA x Camarões,Sim,Não,Não,Sim,Não,Não
30/11/2025,Copa do Mundo,7,49,Espanha x Tunísia,Sim,Não,Não,Não,Sim,Não
30/11/2025,Copa do Mundo,7,52,Equador x Gana,Sim,Sim,Não,Não,Não,Sim
30/11/2025,Copa do Mundo,7,55,Dinamarca x Costa Rica,Sim,Sim,Sim,Não,Não,Não
30/11/2025,Copa do Mundo,7,58,Brasil x Croácia,Sim,Sim,Sim,Sim,Não,Não
30/11/2025,Copa do Mundo,8,1,EUA x Portugal,Não,Não,Não,Não,Não,Sim
30/11/2025,Copa do Mundo,8,4,Qatar x Arábia Saudita,Não,Não,Não,Não,Não,Não
30/11/2025,Copa do Mundo,8,7,Croácia x Países Baixos,Não,Sim,Não,Não,Não,Não
30/11/2025,Copa do Mundo,8,10,Inglaterra x Irã,Não,Sim,Sim,Não,Não,Não
30/11/2025,Copa do Mundo,8,13,Países Baixos x México,Sim,Não,Não,Não,Sim,Sim
30/11/2025,Copa do Mundo,8,16,Senegal x Costa Rica,Sim,Não,Não,Não,Não,Sim
30/11/2025,Copa do Mundo,8,19,Inglaterra x Portugal,Não,Não,Sim,Sim,Sim,Sim
30/11/2025,Copa do Mundo,8,22,EUA x Canadá,Não,Não,Não,Sim,Sim,Sim
30/11/2025,Copa do Mundo,8,25,Suíça x Argentina,Sim,Não,Sim,Sim,Não,Não
30/11/2025,Copa do Mundo,8,28,Alemanha x Costa Rica,Sim,Não,Não,Sim,Sim,Não
30/11/2025,Copa do Mundo,8,31,Qatar x Canadá,Sim,Sim,Não,Não,Sim,Sim
30/11/2025,Copa do Mundo,8,34,Brasil x Dinamarca,Sim,Sim,Sim,Não,Não,Sim
30/11/2025,Copa do Mundo,8,37,Bélgica x Sérvia,Não,Não,Não,Não,Sim,Sim
30/11/2025,Copa do Mundo,8,43,Porto Alegre x Buenos Aires,Não,Não,Não,Não,Não,Sim
30/11/2025,Copa do Mundo,8,46,La Plata x La Boca,Não,Sim,Não,Não,Não,Não
30/11/2025,Copa do Mundo,8,49,Santiago x Buenos Aires,Não,Sim,Sim,Não,Não,Não
30/11/2025,Copa do Mundo,8,52,Itaquera x Avellaneda,Não,Sim,Sim,Sim,Não,Não
30/11/2025,Copa do Mundo,8,55,Penarol x Bogota,Sim,Não,Não,Não,Não,Sim
30/11/2025,Copa do Mundo,8,58,Santos x Rio de Janeiro,Não,Sim,Sim,Sim,Sim,Sim
30/11/2025,Copa do Mundo,9,1,Itaquera x Agua Branca,Não,Não,Sim,Sim,Sim,Sim
30/11/2025,Copa do Mundo,9,4,La Plata x Asuncion,Sim,Não,Sim,Não,Não,Não
30/11/2025,Copa do Mundo,9,7,Rio de Janeiro x Santos,Não,Sim,Sim,Não,Sim,Sim
30/11/2025,Copa do Mundo,9,10,Bogota x Santiago,Não,Não,Sim,Sim,Não,Sim
30/11/2025,Copa do Mundo,9,13,Penarol x Sao Paulo,Não,Sim,Não,Sim,Sim,Não
30/11/2025,Copa do Mundo,9,16,Buenos Aires x La Plata,Sim,Não,Não,Sim,Não,Não
30/11/2025,Copa do Mundo,9,19,Penarol x Porto Alegre,Não,Sim,Sim,Sim,Não,Sim
30/11/2025,Copa do Mundo,9,22,Medellin x Belo Horizonte,Não,Não,Sim,Sim,Sim,Não
